Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
1,NERELA,GENERAL,281212,1,RAJ KARAN KHATRI,MALE,59,GENERAL,BJP,Lotus,86463,752,87215,49.91,31.01,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,2,SHARAD KUMAR,MALE,49,GENERAL,AAAP,Broom,78395,224,78619,44.99,27.96,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,3,ARUNA,FEMALE,43,SC,INC,Hand,6724,58,6782,3.88,2.41,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,4,NOTA,,,NOTA,NOTA,973,8,981,0.56,0.35,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,5,ANIL KUMAR SINGH,MALE,38,GENERAL,CPI(ML)(L),Flag with three stars,328,0,328,0.19,0.12,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,6,VIKAS BHARDWAJ,MALE,46,GENERAL,IND,Road roller,300,1,301,0.17,0.11,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,7,MD KHALID,MALE,42,GENERAL,ASPKR,Kettle,278,0,278,0.16,0.1,173703,1043,174746,62.14
1,NERELA,GENERAL,281212,8,BUDIYA,FEMALE,49,SC,IND,Table,242,0,242,0.14,0.09,173703,1043,174746,62.14
2,BURARI,GENERAL,426451,1,SANJEEV JHA,MALE,45,GENERAL,AAAP,Broom,120813,368,121181,47.57,28.42,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,2,SHAILENDRA KUMAR,MALE,65,GENERAL,JD(U),Arrow,99943,637,100580,39.48,23.59,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,3,MANGESH TYAGI,MALE,52,GENERAL,INC,Hand,19808,112,19920,7.82,4.67,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,4,RATAN TYAGI,MALE,38,GENERAL,NCP,Clock,3829,23,3852,1.51,0.9,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,5,NOTA,,,NOTA,NOTA,2530,18,2548,1,0.6,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,6,GANGA RAM,MALE,61,SC,BSP,Elephant,2193,21,2214,0.87,0.52,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,7,ANIL KAPOOR,MALE,33,GENERAL,JHD,Shoe,866,3,869,0.34,0.2,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,8,SONU KAUSHIK,MALE,52,GENERAL,AAPP,Battery Torch,738,1,739,0.29,0.17,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,9,VIJAY KUMAR JHA,MALE,49,GENERAL,RJCTMJM,Balloon,589,0,589,0.23,0.14,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,10,SUNIL KUMAR VYATHIT,MALE,46,SC,AASPS,Cot,568,1,569,0.22,0.13,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,11,ABHISHEK KUMAR SINGH (MASTER JI),MALE,39,GENERAL,RJSPS,Chakki,530,1,531,0.21,0.12,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,12,GULAB SINGHAL,MALE,50,GENERAL,BHMS,Auto-rickshaw,318,0,318,0.12,0.07,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,13,PRAMOD,MALE,42,GENERAL,SPRP,Scissors,315,0,315,0.12,0.07,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,14,MUKESH PRASAD,MALE,53,GENERAL,bjdi,Computer,284,4,288,0.11,0.07,253548,1189,254737,59.73
2,BURARI,GENERAL,426451,15,DHURVA KUMAR,MALE,31,GENERAL,RTORP,Pressure cooker,224,0,224,0.09,0.05,253548,1189,254737,59.73
3,TIMARPUR,GENERAL,216184,1,SURYA PRAKASH KHATRI,MALE,62,GENERAL,BJP,Lotus,55626,315,55941,46.03,25.88,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,2,SURINDER PAL SINGH (BITTOO),MALE,64,GENERAL,AAAP,Broom,54602,171,54773,45.07,25.34,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,3,LOKENDRA KALYAN SINGH,MALE,42,GENERAL,INC,Hand,8313,48,8361,6.88,3.87,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,4,SURENDER PAL,MALE,30,GENERAL,BSP,Elephant,976,9,985,0.81,0.46,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,5,NOTA,,,NOTA,NOTA,658,5,663,0.55,0.31,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,6,TARUN KUMAR,MALE,53,GENERAL,rpsn,Gas cylinder,165,2,167,0.14,0.08,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,7,DEEPAK CHAWLA,MALE,42,GENERAL,RPPRINAT,Coconut farm,113,0,113,0.09,0.05,120988,553,121541,56.22
3,TIMARPUR,GENERAL,216184,8,RAJKUMAR BHARTI,MALE,43,SC,PPID,Basket containing Fruits,111,1,112,0.09,0.05,120988,553,121541,56.22
